,nama,alamat,location,latitude,longitude
49,Pos Pelabuhan muara Angke,"Pelabuhan Muara Angke, Pos Pemadam Pelabuhan Muara Angke, Kep Seribu Selatan, Kepulauan Seribu","Kepulauan Seribu, DKI Jakarta",-5.796539999999936,106.49628000000007
50,(Pos Duta Mas),"Jl Wijaya Kusuma, Jelambar Baru, Grogol Petamburan, Jakarta Barat","Jalan Wijaya Kusuma II, Grogol Petamburan, DKI Jakarta, 11460",-6.154280708856272,106.77263248524163
51,Pos Rengkas,"Jl.Kemanggisan RW,03, Palmerah, Palmerah, Jakarta Barat","Jalan Kemanggisan 3, Palmerah, DKI Jakarta, 11480",-6.204221408694887,106.78951639519963
52,Jati Pulo,"RPTRA Jati Pulo, Jati Pulo, Palmerah, Jakarta Barat","Jati Pulo, Palmerah, DKI Jakarta",-6.1790399999999295,106.80234000000007
53,Pos Krendang,"Jl.Krendang Utara 5, Krendang, Tambora, Jakarta Barat","Jalan Krendang Utara 5, Tambora, DKI Jakarta, 11260",-6.147847029449352,106.80610491279799
54,Pos Angke,"Jl. Angke indah Raya, Angke, Tambora, Jakarta Barat","Jalan Angke Indah, Tambora, DKI Jakarta, 11290",-6.145084961850699,106.8005901234227
55,Pos Jembes,"Jl. Jembatan Besi, Jembatan Besi, Tambora, Jakarta Barat","Jalan Jembatan Besi I, Tambora, DKI Jakarta, 11290",-6.148986953285785,106.79760119144484
56,Pos Polo Kalianyar,"Jl. Kalianyar, Kalianyar, Tambora, Jakarta Barat","Jalan Kalianyar, Tambora, DKI Jakarta, 11280",-6.1579544150777386,106.79875455227284
57,Pos Lokasari,"Jl Mangga Besar VII , Tangki, Tamansari, Jakarta Barat","Jalan Mangga Besar VII, Tamansari, DKI Jakarta, 11160",-6.147406869704206,106.82169387964002
58,Pos Hotel Holiday Inn,"Jl.Gajah Mada No,112 Rt,014/01, Glodok, Tamansari, Jakarta Barat","Jalan Gajah Mada 112, Tamansari, DKI Jakarta, 11140",-6.15310998454369,106.81712996532076
59,Kantor Sektor Kebon Jeruk,"Jl Kebon Jeruk Baru (Pasum), Kebon Jeruk, Kebon Jeruk, Jakarta Barat","Jalan Kebon Jeruk Baru, Kebon Jeruk, DKI Jakarta, 11530",-6.18951134733787,106.77386846514301
60,Pos Siloam,"Jl. Raya Perjuangan Kav.8 Kb. Jeruk, Kebon Jeruk, Kebon Jeruk, Jakarta Barat","Jalan Raya Perjuangan 8, Kebon Jeruk, DKI Jakarta, 11530",-6.190800008452868,106.76482999081014
61,Pos Kebon Jeruk ,"Jl C (jalan Panjang), Kelapa Dua, Kebon Jeruk, Jakarta Barat","Jalan Panjang, Kebon Jeruk, DKI Jakarta, 11560",-6.223162069663962,106.77166404861012
62,Pos GreenVille,"Perumahan green Ville RW.009, Duri Kepa, Kebon Jeruk, Jakarta Barat","Jalan Perumahan Green Ville 9, Kebon Jeruk, DKI Jakarta, 11510",-6.165599421361474,106.77255589842278
63,Pos Kedoya Utara,"Jl. Taman Ratu  RW,011, Kedoya Utara, Kebon Jeruk, Jakarta Barat","Jalan Taman Ratu 11, Kebon Jeruk, DKI Jakarta, 11520",-6.173011395495763,106.7666464122367
64,Pos Kedoya Selatan,"Rumah Dinas Lurah Kedoya Selatan, Kedoya Selatan, Kebon Jeruk, Jakarta Barat",Kantor Lurah Kedoya Selatan,-6.179679999999962,106.75913000000008
65,Pos Pasar Kembang Rw. Belong,"Jl. Sulaiman No.56, RT.10/RW.3, Sukabumi Utara, Kebon Jeruk, Jakarta Barat","Jalan Sulaiman 56, Kebon Jeruk, DKI Jakarta, 11540",-6.206139980911345,106.77989998216736
66,Pos Joglo (bersertifikat),"Jl.Joglo raya, Joglo, Kembangan, Jakarta Barat","Jalan Joglo Raya, Kembangan, DKI Jakarta, 11640",-6.218205503782105,106.75126900552155
67,Pos Puri Kembangan,"Jl.Kembangan Raya, Kembangan Selatan, Kembangan, Jakarta Barat","Jalan Kembangan Raya, Kembangan, DKI Jakarta, 11610",-6.1896437035614795,106.723072943702
68,Pos Cengkareng,"Jl.Kamal Raya, Cengkareng Barat, Cengkareng, Jakarta Barat","Jalan Kamal Raya, Cengkareng, DKI Jakarta, 11730",-6.149779056333743,106.72739188101863
69,Pos Kresek,"Jl. Nusa Indah II, Duri Kosambi, Cengkareng, Jakarta Barat","Jalan Nusa Indah 2, Cengkareng, DKI Jakarta, 11750",-6.176506806559779,106.71198205141998
70,Pos Daan Mogot (sudah pindah ke Pos Cengkareng Timur),"Jl. Daan Mogot, Cengkareng Timur, Cengkareng, Jakarta Barat","Jalan Daan Mogot, Cengkareng, DKI Jakarta, 11730",-6.153074110037387,106.73816850269928
71,Pos Cengkareng Timur,"Jl.Ruko Mutiara Taman  Palm Blok B6 No.1, Cengkareng Timur, Cengkareng, Jakarta Barat","Mutiara Taman Palem 1, Cengkareng, DKI Jakarta, 11730",-6.138820013096009,106.73452002309938
72,Pos Rawa Buaya,"Jl. Al Hikmah No.39, RT 09 RW 03, Rawa Buaya, Cengkareng, Jakarta Barat","Jalan Al Hikmah 39, Cengkareng, DKI Jakarta, 11740",-6.162268890552235,106.73181858316282
73,Pos Citra Garden,"Jl. Perum Citra I, Kalideres, Kalideres, Jakarta Barat","Kalideres, DKI Jakarta",-6.122099999999932,106.70727000000005
74,Pos Pegadungan,"Jl.Perum Citra 5 Blok C 10/Perum Citra II., Pegadungan, Kalideres, Jakarta Barat","Blok P 10, Kalideres, DKI Jakarta, 11830",-6.137779986550001,106.6982900009948
75,Pos Semanan,"Jl. Raya Semanan No. 45, Semanan, Kalideres, Jakarta Barat","Jalan Semanan Raya 45, Kalideres, DKI Jakarta, 11850",-6.164839997033042,106.7051700347593
