,tanggal,jenis_kejadian_bencana,alamat,location,latitude,longitude
6763,2020-06-25,Kebakaran,"Tol Dalam Kota KM.16, Jelambar, Grogol Petamburan,  Kota Administrasi Jakarta Barat","Jelambar, Grogol Petamburan, DKI Jakarta",-6.158579999999972,106.78480000000008
6766,2020-06-26,Kebakaran,"Komplek Intercon, Srengseng, Kembangan,  Kota Administrasi Jakarta Barat","Srengseng, Kembangan, DKI Jakarta",-6.20906999999994,106.75525000000005
6767,2020-06-26,Kebakaran,"Jl. Kelapa Puan Timur I Blok ND1, Pegangsaan Dua, Kelapa Gading,  Kota Administrasi Jakarta Utara","Jalan Kelapa Puan Timur, Kelapa Gading, DKI Jakarta, 14250",-6.163234779400715,106.91368059353317
6768,2020-06-07,Kebakaran,"Jl. Papanggo, Papanggo, Tanjung Priok,  Kota Administrasi Jakarta Utara","Jalan Papanggo, Tanjung Priok, DKI Jakarta, 14340",-6.126130183606723,106.87645928656524
6769,2020-06-16,Kebakaran,"Jl. Perjuangan No. 60, Tugu selatan, Koja,  Kota Administrasi Jakarta Utara","Jalan Perjuangan 60, Koja, DKI Jakarta, 14230",-6.141298184704764,106.9088513394624
6770,2020-06-05,Kebakaran,"Jl. Raya Basuki Rahmat RT 02 RW 01, Cipinang Besar Utara, Jatinegara,  Kota Administrasi Jakarta Timur","Cipinang Besar Utara, Jatinegara, DKI Jakarta",-6.218979999999931,106.87925000000007
6771,2020-06-23,Kebakaran,"Jl. Raya pondok kelapa gg.naman rt 04/01  , Pondok Kelapa, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Pondok Kelapa Raya 4, Duren Sawit, DKI Jakarta, 13450",-6.247329994219982,106.93551001461947
6773,2020-06-26,Kebakaran,"Jl. Dermaga, Klender, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Dermaga, Duren Sawit, DKI Jakarta, 13470",-6.221306062945668,106.90499225475243
6780,2020-06-26,Kebakaran,"Jl.Dr Saharjo, tebet barat, Tebet,  Kota Administrasi Jakarta Selatan","Jalan Dr Saharjo, Tebet, DKI Jakarta, 12810",-6.2266064650519874,106.84747871639989
6783,2020-06-26,Kebakaran,"Jl. Kampung Krendang, Gg. Pasti, No. 16, Duri Utara, Tambora,  Kota Administrasi Jakarta Barat","Duri Utara, Tambora, DKI Jakarta",-6.153419999999926,106.80793000000006
6784,2020-06-26,Kebakaran,"Jl. Kapuk Kamal, Rawa Melati, No. 76, Tegal Alur, Kalideres,  Kota Administrasi Jakarta Barat","Jalan Kapuk Kamal Raya 76, Kalideres, DKI Jakarta, 11820",-6.10745421599617,106.71951784068436
6785,2020-06-26,Kebakaran,"Gg. Sawo, Joglo, Kembangan,  Kota Administrasi Jakarta Barat","Joglo, Kembangan, DKI Jakarta",-6.215999999999951,106.73756000000009
6786,2020-06-26,Kebakaran,"Jl. Baret Biru III (Depan Yonkav 7), Kalisari, Pasar Rebo,  Kota Administrasi Jakarta Timur","Jalan Baret Biru III, Pasar Rebo, DKI Jakarta, 13790",-6.330267907820945,106.84878542500294
6787,2020-06-27,Kebakaran,"Rusun Angke Lt.4, No. 5 Block. C, Angke, Tambora,  Kota Administrasi Jakarta Barat","Angke, Tambora, DKI Jakarta",-6.1452299999999696,106.79356000000007
6789,2020-06-27,Kebakaran,"Jl. Raya Kebon Jeruk No.20, Kebon jeruk, Kebun Jeruk,  Kota Administrasi Jakarta Barat","Jalan Kebon Jeruk Raya 20, Kebon Jeruk, DKI Jakarta, 11530",-6.196929987611682,106.77441997769029
6790,2020-06-27,Kebakaran,"jln pulogebang permai blok VII, Pulo Gebang, Cakung,  Kota Administrasi Jakarta Timur","Jalan Pulogebang Permai, Cakung, DKI Jakarta, 13950",-6.196505087982069,106.95499100003333
