,tanggal,jenis_kejadian_bencana,alamat,location,latitude,longitude
2202,2020-12-04,Kebakaran,"Jl. Pertanian Selatan , Klender, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Pertanian Selatan, Duren Sawit, DKI Jakarta, 13470",-6.217343003820604,106.89845929848954
2207,2020-12-04,Kebakaran,"Jl. Langgar 3, Pejaten Timur, Pasar Minggu,  Kota Administrasi Jakarta Selatan","Jalan Langgar, Jagakarsa, DKI Jakarta, 12650",-6.308428146290002,106.84712825579429
2211,2020-12-05,Kebakaran,"Jl. Tanah Merah, Penjaringan, Penjaringan,  Kota Administrasi Jakarta Utara","Penjaringan, DKI Jakarta",-6.131649999999979,106.79270000000008
2214,2020-12-05,Kebakaran,"Jl. Pondok Kelapa XII, Blok F7, No. 16, Pondok Kelapa, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Pondok Kelapa XII, Duren Sawit, DKI Jakarta, 13450",-6.246641598006674,106.93676484346123
2219,2020-12-05,Kebakaran,"Jl. Kp. Janis, No. 36, Pekojan, Tambora,  Kota Administrasi Jakarta Barat","Pekojan, Tambora, DKI Jakarta",-6.138079999999945,106.80729000000008
2221,2020-12-06,Kebakaran,"Jl. Kepu, Gg. V, No. 277, Bungur, Senen,  Kota Administrasi Jakarta Pusat","Bungur, Senen, DKI Jakarta",-6.171739999999943,106.84775000000008
2228,2020-12-06,Kebakaran,"Jl.Tipar Cakung, Sukapura, Cilincing,  Kota Administrasi Jakarta Utara","Jalan Tipar Cakung, Cilincing, DKI Jakarta, 14140",-6.145746660353244,106.92308585822634
2231,2020-12-06,Kebakaran,"Jl.Rukun Ujung, Pejaten Timur, Pasar Minggu,  Kota Administrasi Jakarta Selatan","Jalan Rukun, Pasar Minggu, DKI Jakarta, 12510",-6.270179474065823,106.85043835253869
2232,2020-12-06,Kebakaran,"Jl.Prof Dr.Soepomo, Tebet Barat, Tebet,  Kota Administrasi Jakarta Selatan","Jalan Prof DR Soepomo, Tebet, DKI Jakarta, 12810",-6.2425961326639925,106.8442699093935
2237,2020-12-06,Kebakaran,"Jl.Ksatrian IX No..2, Kebon Manggis, Matraman,  Kota Administrasi Jakarta Timur","Jalan Kesatrian IX 2, Matraman, DKI Jakarta, 13150",-6.206920000820844,106.85286000690093
2238,2020-12-06,Kebakaran,"Jl.Teratai Putih, Malaka Jaya, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Teratai Putih, Duren Sawit, DKI Jakarta, 13460",-6.2198629543486215,106.93146212314112
2239,2020-12-07,Kebakaran,"Jl.Kemanggisan Pulo 2, Kemanggisan, Palmerah,  Kota Administrasi Jakarta Barat","Jalan Kemanggisan Pulo 2, Palmerah, DKI Jakarta, 11480",-6.2019600096167835,106.78954998347422
2245,2020-12-07,Kebakaran,"Jl. Dermaga Raya Komp. PTB K3 No. 15, Duren sawit, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Dermaga Raya, Duren Sawit, DKI Jakarta, 13470",-6.221109097719535,106.90843283620048
2248,2020-12-07,Kebakaran,"Jl. Condet Pejaten, Pejaten barat, Pasar Minggu,  Kota Administrasi Jakarta Selatan","Jalan Condet Pejaten, Pasar Minggu, DKI Jakarta, 12510",-6.277132389875446,106.83126000520944
2249,2020-12-07,Kebakaran,"Jl. Matraman I, Kebon Manggis, Matraman,  Kota Administrasi Jakarta Timur","Jalan Matraman I, Matraman, DKI Jakarta, 13150",-6.201856530283583,106.85314430808435
2254,2020-12-08,Kebakaran,"Jl. Penjernihan 1 (Pam Baru), Bendungan Hilir, Tanah Abang,  Kota Administrasi Jakarta Pusat","Jalan Penjernihan 1, Tanah Abang, DKI Jakarta, 10220",-6.201335097757623,106.81151891813388
2255,2020-12-08,Kebakaran,"Jl. Metro Kencana Raya, No. 18, Papanggo, Tanjung Priok,  Kota Administrasi Jakarta Utara","Jalan Metro Kencana 18, Tanjung Priok, DKI Jakarta, 14340",-6.135379851920325,106.87219278227482
2258,2020-12-08,Kebakaran,"RJA DPR RI, Blok B4, Rawajati, Pancoran,  Kota Administrasi Jakarta Selatan","Rawajati, Pancoran, DKI Jakarta",-6.2572099999999296,106.85445000000004
2267,2020-12-08,Kebakaran,"Jl. M Khafi 1, Gg. Madrasah, Jagakarsa, Jagakarsa,  Kota Administrasi Jakarta Selatan","Jagakarsa, DKI Jakarta",-6.326669999999979,106.82144000000005
2271,2020-12-08,Kebakaran,"Jl. Batu Sari, No. 1B, 1C dan 1D, Palmerah, Palmerah,  Kota Administrasi Jakarta Barat","Jalan Batusari, Grogol Petamburan, DKI Jakarta, 11470",-6.184425273507861,106.7832119619325
2277,2020-12-09,Kebakaran,"Jl.Pancoran Timur VI No..PAV 28, Pengadegan, Pancoran,  Kota Administrasi Jakarta Selatan","Jalan Pancoran Timur 6, Pancoran, DKI Jakarta, 12770",-6.249019953538202,106.84753008040019
2280,2020-12-09,Kebakaran,"Jl. Jampea , Koja, Koja,  Kota Administrasi Jakarta Utara","Jalan Jampea, Koja, DKI Jakarta, 14210",-6.107701166992363,106.89999583610248
2282,2020-12-09,Kebakaran,"Jln. Tunjung, Jati Pulo, Palmerah,  Kota Administrasi Jakarta Barat","Jati Pulo, Palmerah, DKI Jakarta",-6.1790399999999295,106.80234000000007
2291,2020-12-10,Kebakaran,"Jl. Danau Semayang B1 No 115, Bendungan Hilir, Tanah Abang,  Kota Administrasi Jakarta Pusat","Jalan Danau Semayang 115, Tanah Abang, DKI Jakarta, 10210",-6.209189987838826,106.80681997295784
2292,2020-12-10,Kebakaran,"Jl. Onkgki Raya, Pluit, Penjaringan,  Kota Administrasi Jakarta Utara","Jalan Ongki Raya, Penjaringan, DKI Jakarta, 14450",-6.121761867190594,106.79731634086765
2293,2020-12-10,Kebakaran,"Jl. Pancoran Timur Raya, Pengadegan, Pancoran,  Kota Administrasi Jakarta Selatan","Jalan Pancoran Timur Raya, Pancoran, DKI Jakarta, 12770",-6.2494682496967195,106.84909170757838
2310,2020-12-12,Kebakaran,"Jl. D.I. Panjaitan (Titik Kenal Kantor Pegadaian), Cipinang Cimpedak, Jatinegara,  Kota Administrasi Jakarta Timur","Jalan D I Panjaitan, Jatinegara, DKI Jakarta, 13340",-6.2335245210177215,106.87643933663719
2314,2020-12-12,Kebakaran,"Jl. Jelambar Barat III, No. 41, Jelambar Baru, Grogol Petamburan,  Kota Administrasi Jakarta Barat","Jalan Jelambar Barat III 41, Grogol Petamburan, DKI Jakarta, 11460",-6.144129990667167,106.78300002905678
2317,2020-12-12,Kebakaran,"Jl.Lontar Bawah Titik kenal samping masjid al ikhlas deket kantor kecamatan kebon melati,, Kebon Melati, Tanah Abang,  Kota Administrasi Jakarta Pusat","Kebon Melati, Tanah Abang, DKI Jakarta",-6.1966299999999706,106.81436000000008
2324,2020-12-12,Kebakaran,"Jl. Kamal Raya RT.03 RW.06 / titik kenal SMU 33, Cengkareng Barat, Cengkareng,  Kota Administrasi Jakarta Barat","Jalan Kamal Raya 3, Cengkareng, DKI Jakarta, 11730",-6.130559982792732,106.72724997938019
2329,2020-12-12,Kebakaran," Jl. Menteng Atas Selatan III No.19, Menteng Atas, Setiabudi,  Kota Administrasi Jakarta Selatan","Jalan Menteng Atas Selatan 3 19, Setiabudi, DKI Jakarta, 12960",-6.217539997872677,106.83960997818019
2330,2020-12-12,Kebakaran," Jl. Ciragil I No.5 , Rawa Barat, Kebayoran Baru,  Kota Administrasi Jakarta Selatan","Rawa Barat, Kebayoran Baru, DKI Jakarta",-6.236089999999933,106.81388000000004
2333,2020-12-12,Kebakaran,"Jl. Petojo Barat VII, Duri Pulo, Gambir,  Kota Administrasi Jakarta Pusat","Jalan Petojo Barat VII, Gambir, DKI Jakarta, 10140",-6.16466518496838,106.80983008202622
2345,2020-12-13,Kebakaran,"Jl. Paus, Rawamangun, Pulogadung,  Kota Administrasi Jakarta Timur","Jalan Paus, Pulogadung, DKI Jakarta, 13220",-6.195883888255899,106.89106245235577
2346,2020-12-13,Kebakaran,"Jl. Bangka VIII, Pela Mampang, Mampang Prapatan,  Kota Administrasi Jakarta Selatan","Jalan Bangka VIII, Mampang Prapatan, DKI Jakarta, 12720",-6.249283011895068,106.82013676050904
2347,2020-12-14,Kebakaran,"Jl. Pedongkelan Belakang, Kapuk, Cengkareng,  Kota Administrasi Jakarta Barat","Jalan Pedongkelan Belakang, Cengkareng, DKI Jakarta, 11720",-6.139982615298807,106.74414062415902
2352,2020-12-14,Kebakaran,"Jl. Benda II, Petogogan, Kebayoran Baru,  Kota Administrasi Jakarta Selatan","Jalan Benda 2, Kebayoran Baru, DKI Jakarta, 12160",-6.250964953215309,106.7960351038706
2358,2020-12-14,Kebakaran,"Jl. Duku, No. 25, Jagakarsa, Jagakarsa,  Kota Administrasi Jakarta Selatan","Jalan Duku 25, Jagakarsa, DKI Jakarta, 12640",-6.3390178253731895,106.83036266304596
2370,2020-12-15,Kebakaran,"Jl. Kutilang (Komplek Dirgantara), Halim Perdana Kusuma, Makasar,  Kota Administrasi Jakarta Timur","Jalan Kutilang, Makasar, DKI Jakarta, 13610",-6.280389959588831,106.90815508687317
2371,2020-12-15,Kebakaran,"Jl. Tanjung Duren Raya, No. 82, Tanjung Duren Utara, Grogol Petamburan,  Kota Administrasi Jakarta Barat","Jalan Tanjung Duren Raya 82, Grogol Petamburan, DKI Jakarta, 11470",-6.175980007357893,106.78336003179817
2372,2020-12-15,Kebakaran,"Jl. Sarang Bangau, Marunda, Cilincing,  Kota Administrasi Jakarta Utara","Jalan Sarang Bango, Cilincing, DKI Jakarta, 14150",-6.129190320295799,106.95606971606325
2374,2020-12-15,Kebakaran,"Gg Asem, Kelapa Dua Wetan, Ciracas,  Kota Administrasi Jakarta Timur","Kelapa Dua Wetan, Ciracas, DKI Jakarta",-6.339369999999974,106.88303000000008
2407,2020-12-17,Kebakaran,"Jl. Rempang 2, No. 1, Kelapa Gading Barat, Kelapa Gading,  Kota Administrasi Jakarta Utara","Jalan Pulau Rempang 2 1, Kelapa Gading, DKI Jakarta, 14240",-6.160279990248512,106.88795998081935
2408,2020-12-17,Kebakaran,"Jl. Cucur Timur IV, Kel. Pondok Karya, Kec. Pondok Aren, Tangerang, Tangerang, Kota Tangerang","Jalan Cucur Timur IV, Pondok Aren, Banten, 15425",-6.2621039150008935,106.74360738406216
2412,2020-12-18,Kebakaran,"Jl. Gading 1, Pisangan Timur, Pulogadung,  Kota Administrasi Jakarta Timur","Jalan Gading 1, Pulogadung, DKI Jakarta, 13230",-6.206189958009027,106.87910005770581
2416,2020-12-17,Kebakaran,"Jl. Kran, No. 7, Gunung Sahari Selatan, Kemayoran,  Kota Administrasi Jakarta Pusat","Jalan Kran V 7, Kemayoran, DKI Jakarta, 10610",-6.1594000161436355,106.84300003891951
2417,2020-12-17,Kebakaran,"Jl. Luar Batang, Gg. V, Penjaringan, Penjaringan,  Kota Administrasi Jakarta Utara","Jalan Luar Batang V, Penjaringan, DKI Jakarta, 14440",-6.123881698031819,106.80509311001954
2418,2020-12-18,Kebakaran,"BKT, Ujung Menteng, Cakung,  Kota Administrasi Jakarta Timur","Ujung Menteng, Cakung, DKI Jakarta",-6.190729999999974,106.95884000000007
2419,2020-12-18,Kebakaran,"Rawa bambu 1, Pasar Minggu, Pasar Minggu,  Kota Administrasi Jakarta Selatan","Pasar Minggu, DKI Jakarta",-6.285249999999962,106.84248000000008
2420,2020-12-18,Kebakaran,"Jl. Angkasa No..54, Gunung Sahari Utara, Sawah Besar,  Kota Administrasi Jakarta Pusat","Jalan Angkasa, Kemayoran, DKI Jakarta, 10610",-6.158989985252879,106.84836503009795
2421,2020-12-18,Kebakaran,"Gg. Banteng No..1, Rawa Badak Utara, Koja,  Kota Administrasi Jakarta Utara","Rawabadak Utara, Koja, DKI Jakarta",-6.122999999999934,106.89922000000007
2422,2020-12-18,Kebakaran,"Jl. Jatinegara Barat Raya No..160, Kampung Mester/Melayu, Jatinegara,  Kota Administrasi Jakarta Timur","Jalan Jatinegara Barat 160, Jatinegara, DKI Jakarta, 13310",-6.221809990807344,106.86560997127816
2423,2020-12-18,Kebakaran,"Jl. Pemuda Raya, Rawamangun, Pulogadung,  Kota Administrasi Jakarta Timur","Jalan Pemuda, Pulogadung, DKI Jakarta, 13220",-6.191386324302817,106.88744655243477
2429,2020-12-19,Kebakaran,"Jl. Tebet Timur Dalam Raya No.73,, Tebet Timur, Tebet,  Kota Administrasi Jakarta Selatan","Jalan Tebet Timur Dalam Raya 73, Tebet, DKI Jakarta, 12820",-6.236770011594871,106.85672004095125
2439,2020-12-19,Kebakaran,"jl. Arista Raya, Pondok Kelapa, Duren Sawit,  Kota Administrasi Jakarta Timur","Pondok Kelapa, Duren Sawit, DKI Jakarta",-6.238869999999963,106.93430000000006
2440,2020-12-19,Kebakaran,"jl. Rawa Kedaung Kober, Cengkareng Timur, Cengkareng,  Kota Administrasi Jakarta Barat","Jalan Rawa Kedaung, Cengkareng, DKI Jakarta, 11730",-6.138859993945301,106.7367307092165
2441,2020-12-19,Kebakaran,"Tebet Mas Indah Blok 3E, Tebet Barat, Tebet,  Kota Administrasi Jakarta Selatan","Jalan Tebet Mas Indah 4 3E, Tebet, DKI Jakarta, 12810",-6.231486658401461,106.84704332364235
2442,2020-12-19,Kebakaran,"Jl. PLN Laboratorium Duren Tiga, Duren Tiga, Pancoran,  Kota Administrasi Jakarta Selatan","Duren Tiga, Pancoran, DKI Jakarta",-6.254309999999975,106.83306000000005
2445,2020-12-20,Kebakaran,"jl. Komarudin Sentra Timur Gg. Sakti, Pulo gebang, Cakung,  Kota Administrasi Jakarta Timur","Jalan Komarudin, Cakung, DKI Jakarta, 13950",-6.195798447209401,106.94305179773613
2446,2020-12-20,Kebakaran,"Jl. Kusuma, Blok. A2, No. 1, Jelambar Baru, Grogol Petamburan,  Kota Administrasi Jakarta Barat","Jalan Kusuma A2, Grogol Petamburan, DKI Jakarta, 11460",-6.14506997919878,106.78070003482543
2450,2020-12-20,Kebakaran,"Jl. Petogogan, Gg. Masjid, Gandaria Utara, Kebayoran Baru,  Kota Administrasi Jakarta Selatan","Jalan Petogogan I, Kebayoran Baru, DKI Jakarta, 12140",-6.251181091195753,106.79431505648016
2458,2020-12-20,Kebakaran,"Jl. Bina Warga, Rawajati, Pancoran,  Kota Administrasi Jakarta Selatan","Jalan Bina Warga, Pancoran, DKI Jakarta, 12750",-6.257561583212847,106.85860889935579
2464,2020-12-20,Kebakaran,"Jl. Jagakarsa 1, Gg. Batas, Jagakarsa, Jagakarsa,  Kota Administrasi Jakarta Selatan","Jalan Jagakarsa 1, Jagakarsa, DKI Jakarta, 12620",-6.326530010591512,106.82068003659168
2466,2020-12-21,Kebakaran,"Jl. Arteri Marunda, No. 43, Semper Timur, Cilincing,  Kota Administrasi Jakarta Utara","Jalan Semper Timur 43, Cilincing, DKI Jakarta, 14130",-6.116930150825989,106.93431749479757
2468,2020-12-20,Kebakaran,"Komplek Griya Indah, Kav. Darussalam, No. 17, Kel. Ketapang, Kec. Cipondoh, Kota Tangerang, Tangerang, Tangerang, Kota Tangerang","Jalan Darussalam I 17, Cipondoh, Tangerang, Banten, 15147",-6.179073613338251,106.70511593360344
2472,2020-12-21,Kebakaran,"jln masjid al wustho no 2, Pondok Bambu, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Masjid al Wustho 2, Duren Sawit, DKI Jakarta, 13430",-6.244830007778873,106.90764999338779
2481,2020-12-22,Kebakaran,"Jl. Kubis I, Pulo, Kebayoran Baru,  Kota Administrasi Jakarta Selatan","Jalan Kubis I, Kebayoran Baru, DKI Jakarta, 12160",-6.255144945464629,106.79629008136516
2482,2020-12-22,Kebakaran,"Jl. Melati, Rawa Badak Utara, Koja,  Kota Administrasi Jakarta Utara","Jalan Melati, Koja, DKI Jakarta, 14230",-6.115801445891142,106.8946247684585
2483,2020-12-22,Kebakaran,"Hotel Akasia, Jl. Kramat Raya, Kramat, Senen,  Kota Administrasi Jakarta Pusat","Jalan Kramat Raya, Senen, DKI Jakarta, 10450",-6.183368344357985,106.84333304576289
2491,2020-12-22,Kebakaran,"Jl. Manunggal XVII, Lubang Buaya, Cipayung,  Kota Administrasi Jakarta Timur","Jalan Manunggal XVII, Cipayung, DKI Jakarta, 13810",-6.297585060918374,106.89685568423148
2492,2020-12-22,Kebakaran,"Jl. A Latief, baru, Pasar Rebo,  Kota Administrasi Jakarta Timur","Jalan A Latief, Pasar Rebo, DKI Jakarta, 13790",-6.327522123757882,106.84556361055392
2499,2020-12-23,Kebakaran,"Jl. Raya Fatahillah, No. 107, Kel. Kali Jaya, Kec. Cikarang Barat - Kota Bekasi, Bekasi, Bekasi, Kota Bekasi","Jalan Raya Fatahillah 107, Cikarang Barat, Bekasi, Jawa Barat, 17849",-6.271090007513337,107.12792003859204
2501,2020-12-23,Kebakaran,"Jl. Raya Kayu Besar (Rukan Paris), Blok. B, No. 67 (Golf Lake Residence), Cengkareng Timur, Cengkareng,  Kota Administrasi Jakarta Barat","Cengkareng Timur, Cengkareng, DKI Jakarta",-6.137309999999957,106.73577000000006
2504,2020-12-23,Kebakaran,"Jl. Sisi Tol Jorr, Pulo Gebang, Cakung,  Kota Administrasi Jakarta Timur",Badan Pertahanan Nasional Kota Administrasi Jakarta Timur,-6.214899999999943,106.94562000000008
2506,2020-12-23,Kebakaran,"Jl. Segitiga (Komplek Unilever), Petukangan Selatan, Pesanggrahan,  Kota Administrasi Jakarta Selatan",Kompleks Unilever,-6.248149999999953,106.75684000000007
2512,2020-12-24,Kebakaran,"Jl.Penjernihan 1, Bendungan Hilir, Tanah Abang,  Kota Administrasi Jakarta Pusat","Jalan Penjernihan 1, Tanah Abang, DKI Jakarta, 10220",-6.201335097757623,106.81151891813388
2517,2020-12-24,Kebakaran,"Jl. Sulaiman, Sukabumi Utara, Kebun Jeruk,  Kota Administrasi Jakarta Barat","Jalan Sulaiman, Kebon Jeruk, DKI Jakarta, 11540",-6.206244151177327,106.77887667923444
2518,2020-12-24,Kebakaran,"Jl. Kali Pasir gg. Tembok, Kebon Sirih, Menteng,  Kota Administrasi Jakarta Pusat","Jalan Kali Pasir, Menteng, DKI Jakarta, 10340",-6.187109959398917,106.83647506257356
2540,2020-12-26,Kebakaran,"Jl. Warakas III, Gg. VIII, Warakas, Tanjung Priok,  Kota Administrasi Jakarta Utara","Jalan Warakas 3, Tanjung Priok, DKI Jakarta, 14340",-6.119267720503235,106.87726377256068
2547,2020-12-26,Kebakaran,"Jl. Swadaya 1, Pejaten Timur, Pasar Minggu,  Kota Administrasi Jakarta Selatan","Jalan Swadaya 1, Pasar Minggu, DKI Jakarta, 12510",-6.294322667978045,106.84571776289947
2548,2020-12-26,Kebakaran,"Jl. Alpukat II, No.. 53, Tanjung Duren Utara, Grogol Petamburan,  Kota Administrasi Jakarta Barat","Jalan Alpukat 2, Grogol Petamburan, DKI Jakarta, 11470",-6.178696608770274,106.79287121034181
2555,2020-12-27,Kebakaran,"Jl. Kp Muaru Bahari, Tanjung Priok, Tanjung Priok,  Kota Administrasi Jakarta Utara",Kota Administrasi Jakarta Utara,-6.139129999999966,106.86195000000004
2556,2020-12-27,Kebakaran,"Jl. Sulaiman, Pasar kembang Blok C, Sukabumi Utara, Kebun Jeruk,  Kota Administrasi Jakarta Barat","Jalan Sulaiman, Kebon Jeruk, DKI Jakarta, 11540",-6.206244151177327,106.77887667923444
2563,2020-12-27,Kebakaran,"Jln. Raya Cirende , Lebak Bulus, Cilandak,  Kota Administrasi Jakarta Selatan","Jalan Cirendeu Raya, Cilandak, DKI Jakarta, 12440",-6.301945895780765,106.77365040738624
2565,2020-12-28,Kebakaran,"Jln. Kp. Jati Baru, Tangerang, Tangerang, Kota Tangerang","Tangerang, Banten",-6.170129999999972,106.63404000000008
2566,2020-12-28,Kebakaran," Jln nusa indah 3 , Malaka Jaya, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Nusa Indah 3, Duren Sawit, DKI Jakarta, 13460",-6.221096996559906,106.93335937783515
2569,2020-12-28,Kebakaran,"Jl. Jaya Mandal I, Menteng Dalam, Tebet,  Kota Administrasi Jakarta Selatan","Jalan Jaya Mandala I, Tebet, DKI Jakarta, 12870",-6.239358007609223,106.8377417409854
2570,2020-12-28,Kebakaran,"Jl. Cempaka Putih Raya No.42, Cempaka Putih Barat , Cempaka Putih,  Kota Administrasi Jakarta Pusat","Jalan Cempaka Putih Raya 42, Cempaka Putih, DKI Jakarta, 10520",-6.176390008151714,106.86306002869412
2571,2020-12-28,Kebakaran,"Jl. Puri Jimbaran Raya Blok E6 No.58, Ancol, Pademangan,  Kota Administrasi Jakarta Utara","Blok E E/6, Penjaringan, DKI Jakarta, 14450",-6.120959979538327,106.79640998449008
2572,2020-12-28,Kebakaran,"Jl. Betet Raya, Tanah Sereal, Tambora,  Kota Administrasi Jakarta Barat","Tanah Sereal, Tambora, DKI Jakarta",-6.149689999999964,106.81138000000004
2573,2020-12-28,Kebakaran,"Jl. Prepetan Gg. Jambu, Kamal, Kalideres,  Kota Administrasi Jakarta Barat","Kamal, Kalideres, DKI Jakarta",-6.103489999999965,106.69954000000007
2574,2020-12-28,Kebakaran,"Jl. Kampung Salo, Kembangan Utara, Kembangan,  Kota Administrasi Jakarta Barat","Jalan Kampung Salo, Kembangan, DKI Jakarta, 11610",-6.163732667805072,106.75456569049024
2575,2020-12-29,Kebakaran,"Jl. Perdana Raya, Wijaya Kusuma, Grogol Petamburan,  Kota Administrasi Jakarta Barat","Jalan Perdana, Grogol Petamburan, DKI Jakarta, 11460",-6.152497553771527,106.77389750847247
2576,2020-12-29,Kebakaran,"Jl. Awaludin II No.18, Kebon Melati, Tanah Abang,  Kota Administrasi Jakarta Pusat","Jalan Awaludin 2 18, Tanah Abang, DKI Jakarta, 10230",-6.199430015962307,106.81366999950899
2577,2020-12-29,Kebakaran,"Jl. Inspeksi BKT, Ujung Menteng, Cakung,  Kota Administrasi Jakarta Timur","Ujung Menteng, Cakung, DKI Jakarta",-6.190729999999974,106.95884000000007
2578,2020-12-29,Kebakaran,"Jl. H. Baping No.14, Susukan, Ciracas,  Kota Administrasi Jakarta Timur","Jalan H Baping 14, Ciracas, DKI Jakarta, 13750",-6.319230001568442,106.87275001167916
2585,2020-12-29,Kebakaran,"Jl. Kecamatan Jaya Blok B komp UKA, Tugu Utara, Koja,  Kota Administrasi Jakarta Utara","Tugu Utara, Koja, DKI Jakarta",-6.12352999999996,106.91244000000006
2586,2020-12-29,Kebakaran,"Jl. Madrasah 1 Gg WW, Sukabumi Utara, Kebun Jeruk,  Kota Administrasi Jakarta Barat","Jalan Madrasah 1, Kebon Jeruk, DKI Jakarta, 11530",-6.201654166732491,106.77730735668523
2587,2020-12-29,Kebakaran,"Jl. H Ipin, Pondok Labu, Cilandak,  Kota Administrasi Jakarta Selatan","Pondok Labu, Cilandak, DKI Jakarta",-6.30875999999995,106.79864000000003
2588,2020-12-29,Kebakaran,"jl. Bungur, Kebayoran lama Utara, Kebayoran Lama,  Kota Administrasi Jakarta Selatan","Jalan Bungur, Kebayoran Lama, DKI Jakarta, 12240",-6.2476764012533375,106.78190812207274
2589,2020-12-29,Kebakaran,"Jl. Rawadas , Pondok Kopi, Duren Sawit,  Kota Administrasi Jakarta Timur","Pondok Kopi, Duren Sawit, DKI Jakarta",-6.225609999999961,106.94346000000007
2592,2020-12-29,Kebakaran,"Jl. Krendang Selatan, Krendang, Tambora,  Kota Administrasi Jakarta Barat","Jalan Krendang Selatan, Tambora, DKI Jakarta, 11260",-6.1531254543651315,106.80281637881858
2593,2020-12-29,Kebakaran,"Jl. Kembangan Selatan, Kembangan Selatan, Kembangan,  Kota Administrasi Jakarta Barat","Jalan Kembangan Selatan, Kembangan, DKI Jakarta, 11610",-6.185180295640862,106.72738639633147
2594,2020-12-30,Kebakaran,"Jl. teluk Intan, Pejagalan, Penjaringan,  Kota Administrasi Jakarta Utara","Pejagalan, Penjaringan, DKI Jakarta",-6.137929999999926,106.78473000000008
2600,2020-12-30,Kebakaran,"Jl.Badilah 1, Tangki, Tamansari,  Kota Administrasi Jakarta Barat","Tangki, Tamansari, DKI Jakarta",-6.147389999999973,106.82419000000004
2601,2020-12-30,Kebakaran,"Jl.Lembah Palem No..34, Pondok Kelapa, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Lembah Palem, Duren Sawit, DKI Jakarta, 13450",-6.236427562495225,106.93276935433504
2606,2020-12-30,Kebakaran,"Jl. Rawa Babon, Ciracas, Ciracas,  Kota Administrasi Jakarta Timur","Ciracas, DKI Jakarta",-6.328499999999963,106.87888000000004
2611,2020-12-30,Kebakaran,"Jl.Simprug Golf 3 No..128, Grogol Utara, Kebayoran Lama,  Kota Administrasi Jakarta Selatan","Jalan Simprug Golf 3 128, Kebayoran Lama, DKI Jakarta, 12220",-6.224569983884962,106.7930500147832
2612,2020-12-30,Kebakaran,"Jl.Nila Gg.Mushola, Jagakarsa, Jagakarsa,  Kota Administrasi Jakarta Selatan","Jalan Nila, Jagakarsa, DKI Jakarta, 12630",-6.328139964643931,106.80912508015015
2613,2020-12-31,Kebakaran,"Jl.Taman Palem Mutiara Blok B7 No..56 - 57, Cengkareng Timur, Cengkareng,  Kota Administrasi Jakarta Barat","Jalan Taman Palem Mutiara 56, Cengkareng, DKI Jakarta, 11730",-6.14118999621887,106.73134001285365
2615,2020-12-31,Kebakaran,"Jl. Rawajati Timur V No.31, Rawajati, Pancoran,  Kota Administrasi Jakarta Selatan","Jalan Rawajati Timur 31, Pancoran, DKI Jakarta, 12750",-6.259286281403797,106.85357746391095
2616,2020-12-31,Kebakaran,"Pulau Tidung, Pulau Tidung, Kep. Seribu Selatan,  Kab. Administrasi Kep. Seribu","Pulau Tidung, Kepulauan Seribu Selatan, DKI Jakarta",-5.796479999999974,106.49515000000008
2620,2020-12-31,Kebakaran,"Jl. Taman Palm Mutiara Blok C8/01, Cengkareng Timur, Cengkareng,  Kota Administrasi Jakarta Barat","Jalan Taman Palem Mutiara 1, Cengkareng, DKI Jakarta, 11730",-6.1370399902281605,106.73163002670356
2625,2020-12-13,Kebakaran,"Jl. Kakap Pengasinan , Kalibaru, Cilincing,  Kota Administrasi Jakarta Utara","Kali Baru, Cilincing, DKI Jakarta",-6.101389999999981,106.93135000000007
3217,2020-02-01,Kebakaran,"Jl. Jembatan Dempet (SDN 04 Sumur Batu), Sumur Batu, Kemayoran,  Kota Administrasi Jakarta Pusat","Jalan Jembatan 4, Kebayoran Baru, DKI Jakarta, 12160",-6.252684271519397,106.79681746185611
3220,2020-02-01,Kebakaran,"Jl. Masjid Nurul Huda , Cengkareng Timur, Cengkareng,  Kota Administrasi Jakarta Barat","Jalan Masjid Nurul Huda, Cengkareng, DKI Jakarta, 11730",-6.152536050640868,106.73090327650708
3223,2020-02-01,Kebakaran,"Jl. Muria Gg.8, Menteng Atas, Setiabudi,  Kota Administrasi Jakarta Selatan","Jalan Muria 8, Setiabudi, DKI Jakarta, 12980",-6.208467509694614,106.83537753617173
3228,2020-02-01,Kebakaran,"Jl.Raya Bekasi Pulogadung, Jatinegara Kaum, Pulogadung,  Kota Administrasi Jakarta Timur","Jalan Raya Bekasi, Pulogadung, DKI Jakarta, 13250",-6.1954961465771525,106.90351051048944
3229,2020-02-01,Kebakaran,"Jl.Kebon Jeruk 13 No..95, Maphar, Tamansari,  Kota Administrasi Jakarta Barat","Jalan Kebon Jeruk 13, Tamansari, DKI Jakarta, 11160",-6.1546549578917435,106.8200601110328
3240,2020-02-02,Kebakaran,"Jl. Raya Bogor No.10, Kramat Jati, Kramat Jati,  Kota Administrasi Jakarta Timur","Jalan Raya Bogor 10, Kramatjati, DKI Jakarta, 13510",-6.282085514322243,106.87207330008724
