tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-04-10,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Pesanggrahan,Pademangan Timur,Pademangan, Kota Administrasi Jakarta Utara,0,0,,
2020-04-10,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Puskesmas 1 No..19,Kebagusan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-10,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Rawa Elok 2 No..112,Bale Kambang,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-04-10,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Karang Tengah 1 No..12,Lebak Bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,8000000,,
2020-04-10,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Camar 3 Blok C 27,Sukapura,Cilincing, Kota Administrasi Jakarta Utara,1,5000000,,
2020-04-10,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Baru 2 No..11,Kebayoran Lama Utara,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-10,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Kamal Raya No..11,Tegal Alur,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2020-04-11,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Karet Gugusan,Karet,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-10,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Kamal Raya,Tegal Alur,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2020-04-11,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Buaran lll,Klender,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-04-11,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. SMA 14 Jakarta No..19,Cawang,Kramat Jati, Kota Administrasi Jakarta Timur,0,300000000,,
2020-04-10,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Telepon,Jl.H.Ipin,Pondok Labu,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-10,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Telepon,Jl.Kemang Selatan XII,Cipete Selatan,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-10,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Telepon,Jl.Petogogan RW.2,Petogogan,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-10,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Telepon,Wilayah RT 01 s / d 15 RW.03,Petogogan,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-11,Penyelamatan,Penyelamatan Transportasi,Masyarakat Telepon,Jl. Pesanggrahan Indah,Pesanggrahan,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-11,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Gading Kirana,Kelapa Gading Barat,Kelapa Gading, Kota Administrasi Jakarta Utara,0,50000000,,
2020-04-11,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Pulo Nangka II,Kayu Putih,Pulogadung, Kota Administrasi Jakarta Timur,3,Dalam Penyelidikan,,
2020-04-11,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Bekasi Timur IV,Cipinang Besar Utara,Jatinegara, Kota Administrasi Jakarta Timur,0,50000000,,
2020-04-11,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Pertanian III No.99,Lebak Bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-11,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Deplu Tengah No.44,Bintaro,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-12,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Asia Baru No.49,Duri Kepa,Kebun Jeruk, Kota Administrasi Jakarta Barat,0,0,,
2020-04-12,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Kp. Rawa Badung,Jatinegara,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-04-12,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Teluk Semangka, Blok C4, No. 7 (Komplek AL)",Duren Sawit,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-04-12,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Lapangan Tembak, Gg. Mawar",Kelapa Dua Wetan,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-04-12,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Kali Banjir Kanal Barat Jl. Taman Bunga I,Kota Bambu selatan,Palmerah, Kota Administrasi Jakarta Barat,0,0,,
2020-04-12,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Komplek Jembatan Dua,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-04-12,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Tipar Cakung, Gg. Sengon",Sukapura,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-04-12,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Panglima Polim, No. 29",Gandaria Utara,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-12,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Ciputat Raya, No. 18",Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,1,2000000,,
2020-04-13,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Agung Timur IX, Blok N2",Sunter Agung,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2020-04-13,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. H. Ashari,Kedoya Selatan,Kebun Jeruk, Kota Administrasi Jakarta Barat,0,0,,
2020-04-13,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl.Matraman No..132 ( Sudin Damkar 5.1 ),Kebon Manggis,Matraman, Kota Administrasi Jakarta Timur,0,0,,
2020-04-13,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Telepon,Kali Banjir Kanal Barat Jl. Taman Bunga I,Kota Bambu selatan,Palmerah, Kota Administrasi Jakarta Barat,0,0,,
2020-04-13,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl.Empang Tanah No..80 ( Masdjid Al - Husnah ),Klender,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-04-13,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Belakang Komp.Bea Cukai ,Jl.Bujung Tirta 5 No..1",Pisangan Timur,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-04-13,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Jl.Batu Ampar 3 Np.19,Batu Ampar,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-04-13,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Triloka 12 Blok H8,Pancoran,Pancoran, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-13,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Panglima Polim Raya No..61,Melawai,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-13,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl.Puri Indah Raya Blok A No..16,Kembangan selatan,Kembangan, Kota Administrasi Jakarta Barat,0,100000000,,
2020-04-13,Bantuan Operasi,Bantuan Operasi Lainnya,Petugas Instansi Lain,Jl.Sudirman Pintu 6 GBK,Gelora,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-04-13,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Tanah Koja 2 No..15,Jatinegara Kaum,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-04-13,Penyelamatan,Pohon Tumbang,Masyarakat Telepon,Jl.Raya Bekasi ( Halte Tipar Cakung ),Rawa Terate,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-04-13,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl.Nipah XII ( Gedung Walikota ),Petogogan,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-13,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl.Pulo Raya V,Petogogan,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-13,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Telepon,Jl.Kemang Selatan XII A,Cipete Selatan,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-13,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Telepon,"Jl.Nis Jeruk Purut,RT.03 & 09 / RW,03",Cilandak Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-13,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Telepon,Jl.Lapangan Tembak,Cilandak Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-13,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Telepon,"Jl.Komplek Polri,Pondok Karya",Pela Mampang,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-13,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Telepon,Akses Jln Pasar Kambing,Bangka,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-13,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Telepon,Akses Jln.Kemang Timur,Bangka,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-13,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Telepon,Akses Jln.Kemang Selatan,Bangka,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-13,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Empang Bahagia Raya No..1H,Jelambar,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2020-04-13,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Bakti 1 ( Masjid Al - Zamiah ),Kapuk,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-04-13,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Flamboyan Gg.Jaya 1 ( SDN 16 Cengkareng ),Cengkareng Barat,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-04-13,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Lada Dalam,Pinangsia,Tamansari, Kota Administrasi Jakarta Barat,0,0,,
2020-04-13,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Kampung Kojan ( SMP 225 ),Kalideres,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2020-04-13,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Marga Satwa No..15,Pondok Labu,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-13,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Karang Tengah 1 ,Lebak Bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-04-13,Penyelamatan,Pohon Tumbang,Masyarakat Telepon,Jl.Gading Lilin Raya,Pegangsaan Dua,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-04-14,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Pasar Pagi,Cilincing,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-04-13,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Bangka VIII,Pela Mampang,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
