tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-06-05,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Paus Raya No. 89 C,Rawamangun,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-06-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Danau Agung 2 No. 18 Blok E3,Sunter Agung,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2020-06-05,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Mangga Besar IX, Gg. Langgar, No. 5",Tangki,Tamansari, Kota Administrasi Jakarta Barat,1,500000,,
2020-06-06,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Merpati III,Gunung Sahari Selatan,Kemayoran, Kota Administrasi Jakarta Pusat,0,0,,
2020-06-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Muara Baru Raya (Apartemen Pluit Sea View),Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,18,400000000,,
2020-06-06,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl. Kebon Nanas 1,Cipinang Cimpedak,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2020-06-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jln Komplek eks Brimob Gg Garuda II ,Pejaten Barat,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-06,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,jl. Batu Ampar 3 Rt. 12/02   No : 19,Batu Ampar,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-06-06,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Mampang Prapatan VIII ( dekat SMP 104) ,Tegal Parang,Mampang Prapatan, Kota Administrasi Jakarta Selatan,50,850000000,,
2020-06-06,Bantuan Operasi,Bantuan Operasi Lainnya,Petugas Pemadam,"GOR PS.MINGGU, Jl. Raya Ragunan No.1, RT.6/RW.1 Kel. Jati Padang Kec. Pasar Minggu",Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-06,Bantuan Operasi,Bantuan Operasi Lainnya,Petugas Pemadam,Jl. Ciledug Raya (Depan Univ. Budi Luhur),Petukangan utara,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-06-06,Bantuan Operasi,Bantuan Operasi Lainnya,Petugas Pemadam, Jln. Mampang Prapatan raya depan PD Pasar Jaya Mampang,Mampang Prapatan,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
