tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Telepon,"Jl. M Khafi 1, Gg. Jamblang (Belakang TPU Kampung Kandang)",Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Telepon,Jl. Manggis (Perumahan De Manggis),Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. Kemang Selatan X,Bangka,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Pondok Jaya,Pela Mampang,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Bantuan Operasi,Penyedotan genangan Air,Petugas Instansi Lain,Jl. Asia Afrika (Basement Hotel Mulia),Gelora,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-01-01,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. H. Ipin,Pondok Labu,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-02,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,"Jl. Bank V, Blok C24 - C25, Rt 02/08, Rt 10/11",Pela Mampang,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Datang,Jl. Mangga Ujung,Tugu Utara,Koja, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,"Jl. Pegangsaan 2, Blok A27",Pegangsaan Dua,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,"Jl. Gading Griya Lestari, No. 42",Sukapura,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Asrama Yon Ang Air,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. Kelapa Cengkir,Kelapa Gading Timur,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. Gading Elok VIII,Kelapa Gading Timur,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Taman Pegangsaan Indah,Pegangsaan Dua,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Datang,Jl. Manga Ujung,Tugu Utara,Koja, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Datang,Jl. Pelepah Elok VIII,Kelapa Gading barat,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Cempaka Putih Timur 24 ,Cempaka Putih Timur,Cempaka Putih, Kota Administrasi Jakarta Pusat,0,0,,
2020-01-01,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Raya Bendungan Hilir No. 15,Bendungan Hilir,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-01-01,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Datang,Jl. Kampung Kurus,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Bantuan Operasi,Penyedotan genangan Air,Masyarakat Datang,Jl. Gereja Tugu,Koja,Koja, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Instansi Lain,Jl. Bujana Dalam No. 7,Gunung,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,"Kantor Lurah Sukapura, Gg. Swadaya No.17",Sukapura,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Cempaka Putih Tengah,Cempaka Putih Timur,Cempaka Putih, Kota Administrasi Jakarta Pusat,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. kapuk Muara Raya,Kapuk Muara,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Jl. Lindung,Pejagalan,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2020-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Raya Mawar Merah II No.52,Pondok Kopi,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Kesatrian VIII,Kebon Pala,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Kayu Mas Raya,Pulogadung,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. RT.03/03,Rambutan,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Kamboja,Kebon Pala,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Bangau No.9 Cipinang Indah,Cipinang Muara,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Komp. IKIP Blok BZ,Duren Sawit,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. H. Amsir II,Cipinang Melayu,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Komp. Pulo Mas Utara,Kayu Putih,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,"RT. 03, 04, 05, 06",Rambutan,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,RW.7,Rawa Terate,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Tanjung Sayang RW.8,Cawang,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Pulomas Timur,Kayu Putih,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Pulo Mas Utara Raya,Kayu Putih,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,"Cipinang Indah, Jl. Camar Blok R",Cipinang Muara,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,RT.12 RW.03,Cipinang Melayu,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Jl. Masjid Al Umar,Lubang Buaya,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Pondok Kelapa Blok CF4 No.7,Pondok Kopi,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,"Bumi Harapan Permai, Jl. Bumi Ptratama Raya A3",Dukuh,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,jl. Doto tonggara II,Kramat Jati,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-01-01,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Petugas Pemadam,Belakang Kampus Binawan,Cawang,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
