tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-11-03,Penyelamatan,Pohon Tumbang,Petugas Pemadam,Jl. Dirgantara III (Samping Lapangan Bola),Halim Perdana Kusuma,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2020-11-02,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Boulevard Raya,Kelapa Gading Barat,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-11-03,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Kemang Selatan No. 2,Cilandak Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,300000000,,
2020-11-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. H. Sidun No..73,Pinang Ranti,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2020-11-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kayu Manis VI No.. 26,Kayu Manis,Matraman, Kota Administrasi Jakarta Timur,0,0,,
2020-11-03,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Pembina II,Pal Meriam,Matraman, Kota Administrasi Jakarta Timur,1,50000000,,
2020-11-03,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Pendaratan Udang No.. 10 ( PT. Multi Rejeki ),Pluit,Penjaringan, Kota Administrasi Jakarta Utara,0,10000000,,
2020-11-03,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Ruko Ex AURI Blok C No.. 31,Kampung Bali,Tanah Abang, Kota Administrasi Jakarta Pusat,0,20000000,,
2020-11-03,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Rajawali Selatan I,Gunung Sahari Utara,Sawah Besar, Kota Administrasi Jakarta Pusat,0,5000000,,
2020-11-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Madukara No..5,Makasar,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2020-11-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Prapanca Raya ( Danau Kantor Walikota ),Petogogan,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-11-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. H. Baping Gg. Damai No..2,susukan,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-11-03,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Dalam tol JORR Lebak Bulus arah Pasar Rebo ( depan ASTON ) Jl. TB. Simatupang,Kebagusan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,150000000,,
2020-11-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Bakti VI,Cilincing,Cilincing, Kota Administrasi Jakarta Utara,1,0,,
2020-11-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. jatipadang,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-11-03,Bantuan Operasi,Kerja Bakti,Masyarakat Telepon,Jl. TMP Kalibata,Rawajati,Pancoran, Kota Administrasi Jakarta Selatan,0,0,,
2020-11-03,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Jl. Baladewa raya,Tanah Tinggi,Johar Baru, Kota Administrasi Jakarta Pusat,0,2000000,,
2020-11-03,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kawi Raya,Guntur,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-11-04,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Hayam Wuruk ( Kebon Jeruk VII ),maphar,Tamansari, Kota Administrasi Jakarta Barat,0,0,,
2020-11-04,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Duren Sawit baru No. 2,Pondok Bambu,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-11-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Lontar Taman No. 05,Tugu Utara,Koja, Kota Administrasi Jakarta Utara,0,0,,
2020-11-04,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Taman Impian Jaya Ancol,Ancol,Pademangan, Kota Administrasi Jakarta Utara,0,0,,
2020-11-04,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Kantor Kelurahan Papanggo,Papanggo,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
