tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-09-07,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Gg.Nur Jatinegara Barat ( RS.Primer Jatinegara ),Bali Mester,Jatinegara, Kota Administrasi Jakarta Timur,48,1650000000,,
2020-09-07,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl.Setiabudi Barat No..8,Setiabudi,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Cikini 1 No..3,Cikini,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Bendungan Hilir 1 No..23,Bendungan Hilir,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-07,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Ruko Grencourt Lake Residen No..A25,Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat,0,25000000,,
2020-09-07,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Menteng Wadas Utara,Pasar Manggis,Setiabudi, Kota Administrasi Jakarta Selatan,0,2000000,,
2020-09-08,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Ki Dadeng,Pulau Pari,Kep. Seribu Selatan, Kab. Administrasi Kep. Seribu,0,1000000,,
2020-09-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Lodan Gg.Soho,Pademangan Barat,Pademangan, Kota Administrasi Jakarta Utara,0,0,,
2020-09-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Perairan Pulau Panggang,Pulau Panggang,Kep. Seribu Utara, Kab. Administrasi Kep. Seribu,0,0,,
2020-09-08,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Telepon,Jl.Setiabudi Selatan ( Wisma Gawi ),Karet,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-08,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Wilayah Kecamatan Tanah Abang,Gelora,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-08,Penyelamatan,Pohon Tumbang,Masyarakat Telepon,jl. Cut Nyak Dien No.18,Gondangdia,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-08,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,RT.02 RW.02,Ancol,Pademangan, Kota Administrasi Jakarta Utara,0,0,,
2020-09-08,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Kantor Sudin Damkar Jakarta Selatan,Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-08,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Kantor Sektor Damkar Pasar Minggu Jakarta Selatan,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-08,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Wijaya IX No.50,Melawai,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-08,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Batu Ampar IV No.68,Batu Ampar,Kramat Jati, Kota Administrasi Jakarta Timur,0,0,,
2020-09-08,Penyelamatan,Operasi Penyelamatan Lainnya,Petugas Pemadam,Jl. Raya Bogor KM.26 No.6,Ciracas,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-09-08,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Pekojan Raya No.28,Pekojan,Tambora, Kota Administrasi Jakarta Barat,0,0,,
2020-09-08,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Komplek Taman Alfa Indah,Joglo,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-09-08,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Ring Road Timur,Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat,0,30000000,,
2020-09-09,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Pergudangan Kamal Indah Blok B No.10,Kamal,Kalideres, Kota Administrasi Jakarta Barat,0,5000000,,
2020-09-09,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Brigif Jaya Sakti,Pekayon,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2020-09-09,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl.batu merah,Pejaten timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-09,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jl. Jagakarsa Raya,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-09,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl.M Kahfi 1,ciganjur,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-09,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Mampang Prapatan XIII dan Jalan Tegal Parang Utara,Mampang Prapatan,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-09,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Telepon,Jl. Baung Raya,Kebagusan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-09,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Batu 1, Gg. Arab",Pejaten Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-09,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Rawasari Barat IX, No.171 (titik kenal RPTRA Beringin)",Cempaka Putih Timur,Cempaka Putih, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-09,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Martimbang Raya, No. 8",Gunung,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-09,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"JL Bukit Prataman 2, BLOK. B.7",Lebak Bulus,Cilandak, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-09,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Kramat Raya,Kwitang,Senen, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-09,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Bromo, Blok K, No. 5",Cibubur,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-09-09,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Stasiun Cakung, No. 59",Pulo Gebang,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-09-09,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Komp Metland Cakung, Cluster Valeria Regina, No. 6",Ujung Menteng,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-09-09,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Cilangkap Baru,Cilangkap,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2020-09-09,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Menceng Raya Prima Blok D3 No. 1A  dan 1B,Tegal Alur,Kalideres, Kota Administrasi Jakarta Barat,0,600000000,,
2020-09-09,Bantuan Operasi,Bantuan Operasi Lainnya,Petugas Pemadam,Jl. Jend. Sudirman,Gelora,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-09,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Jl. Perum Daan Mogot Estate,Kapuk,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2020-09-09,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Taman Semanan Raya,Duri Kosambi,Cengkareng, Kota Administrasi Jakarta Barat,0,500000000,,
2020-09-09,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. D Raya, No. 39",Karang Anyar ,Sawah Besar, Kota Administrasi Jakarta Pusat,0,5000000,,
2020-09-09,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl. Taman Tugu Proklamasi,Pegangsaan ,Menteng, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-10,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.H.Mahda ( SDN 09 ),Cibubur,Ciracas, Kota Administrasi Jakarta Timur,0,100000000,,
2020-09-10,Penyelamatan,Operasi Penyelamatan Lainnya,Masyarakat Datang,Pos DAMKAR Pulogadung,Penggilingan,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2020-09-10,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Area MONAS,Gambir ,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2020-09-10,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"RPTRA Krendang,Jl.Krendang Selatan",Krendang,Tambora, Kota Administrasi Jakarta Barat,0,0,,
2020-09-10,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.TMP Kalibata ( Apartemen Woodland Park,Rawajati,Pancoran, Kota Administrasi Jakarta Selatan,0,0,,
2020-09-10,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Kota Bambu Utara Gg.Ricik No..8,Kota Bambu Utara,Palmerah, Kota Administrasi Jakarta Barat,0,0,,
2020-09-10,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Pondok Kelapa Raya,Pondok Kelapa,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2020-09-10,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Harapan,Cakung Timur,Cakung, Kota Administrasi Jakarta Timur,0,1700000000,,
