tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2020-02-06,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Jl. Gading Indah Utara 3,Pegangsaan Dua,Kelapa Gading, Kota Administrasi Jakarta Utara,0,0,,
2020-02-06,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Jl. Subur Raya,Duri Pulo,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Anggrek Gg Majelis,Srengseng,Kembangan, Kota Administrasi Jakarta Barat,0,0,,
2020-02-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Perjuangan ,Kebon Jeruk,Kebun Jeruk, Kota Administrasi Jakarta Barat,0,0,,
2020-02-06,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"jl. Ciputat Raya, No. 20-21",Kebayoran Lama Selatan,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-06,Penyelamatan,Evakuasi Banjir / Penyelamatan Air ,Masyarakat Datang,Aliran Sungi Pesanggrahan,Ulujami,Pesanggrahan, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-06,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Cempaka Warna,rawasari ,Cempaka Putih, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-06,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kebon Jeruk 3 dan 4 ,Maphar,Tamansari, Kota Administrasi Jakarta Barat,55,1000000000,,
2020-02-06,Penyelamatan,Pengendalian Hewan,Jakarta Siaga 112,Jl. Asmin No. 45,Susukan,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2020-02-07,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Kebon Jeruk 3 dan 4 ,Maphar,Tamansari, Kota Administrasi Jakarta Barat,0,0,,
2020-02-07,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Lamandau 1, No. 22B",Kramat Pela,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2020-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Alaidrus No..76B,Gambir ,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2020-02-07,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Pembaharuan No..134,Kelapa Dua Wetan,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
